"drugName","external_gene_name","Uniprot_ID","ensembl_gene_id","diseaseId","diseaseName","drugId","type","mechanismOfAction","actionType","OpenTarget_target","description","phase","status","source","gene_concept_id","DGIdb_target","interaction_source_db_name","interaction_source_db_version","interaction_type","interaction_score","drug_claim_name","drug_concept_id","approved","immunotherapy","anti_neoplastic"
"ABEMACICLIB","CDK4","P11802","ENSG00000135446","MONDO_0007254","breast cancer","CHEMBL3301610","Small molecule","Cyclin-dependent kinase 4 inhibitor",NA,"CDK4","cyclin dependent kinase 4",1,"Active, not recruiting","https://clinicaltrials.gov/study/NCT03616587,https://clinicaltrials.gov/study/NCT02791334","hgnc:1773","CDK4","ClearityFoundationBiomarkers","26-Jul-13","NULL","0.3070624048871023","LY2835219","rxcui:1946825","TRUE","FALSE","TRUE"
"ABEMACICLIB","CDK6","Q00534","ENSG00000105810","MONDO_0007254","breast cancer","CHEMBL3301610","Small molecule","Cyclin-dependent kinase 6 inhibitor",NA,"CDK6","cyclin dependent kinase 6",1,"Withdrawn","https://clinicaltrials.gov/study/NCT04316169,https://clinicaltrials.gov/study/NCT03846583","hgnc:1777","CDK6","ChEMBL","33","inhibitor","0.6141248097742047","ABEMACICLIB","rxcui:1946825","TRUE","FALSE","TRUE"
"ALPELISIB","PIK3CA","P42336","ENSG00000121879","MONDO_0007254","breast cancer","CHEMBL2396661","Small molecule","PI3-kinase p110-alpha subunit inhibitor",NA,"PIK3CA","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha",1,"Terminated","https://clinicaltrials.gov/study/NCT02734615","hgnc:8975","PIK3CA","ChEMBL","33","inhibitor","0.2778183663264258","ALPELISIB","rxcui:2169285","TRUE","FALSE","TRUE"
"ANASTROZOLE","CYP19A1","P11511","ENSG00000137869","MONDO_0007254","breast cancer","CHEMBL1399","Small molecule","Cytochrome P450 19A1 inhibitor",NA,"CYP19A1","cytochrome P450 family 19 subfamily A member 1",2,"Unknown status","https://clinicaltrials.gov/study/NCT00398489,https://clinicaltrials.gov/study/NCT00077168,https://clinicaltrials.gov/study/NCT01266213,https://clinicaltrials.gov/study/NCT00687648,https://clinicaltrials.gov/study/NCT02072512","hgnc:2594","CYP19A1","TTD","2020.06.01","NULL","0.7693431682885642","ANASTROZOLE","rxcui:84857","TRUE","FALSE","TRUE"
"CAPIVASERTIB","AKT1","P31749","ENSG00000142208","Orphanet_145","Hereditary breast and ovarian cancer syndrome","CHEMBL2325741","Small molecule","Serine/threonine-protein kinase AKT inhibitor",NA,"AKT1","AKT serine/threonine kinase 1",2,"Active, not recruiting","https://clinicaltrials.gov/study/NCT02208375","hgnc:391","AKT1","PharmGKB","4/5/24","NULL","0.3697723326457359","CAPIVASERTIB","rxcui:2669967","TRUE","FALSE","TRUE"
"CAPIVASERTIB","AKT3","Q9Y243","ENSG00000117020","MONDO_0007254","breast cancer","CHEMBL2325741","Small molecule","Serine/threonine-protein kinase AKT inhibitor",NA,"AKT3","AKT serine/threonine kinase 3",2,"Unknown status","https://clinicaltrials.gov/study/NCT02423603","hgnc:393","AKT3","ClearityFoundationClinicalTrial","15-Jun-13","inhibitor","0.4688184931758437","AZD5363","rxcui:2669967","TRUE","FALSE","TRUE"
"CAPIVASERTIB","AKT2","P31751","ENSG00000105221","MONDO_0007254","breast cancer","CHEMBL2325741","Small molecule","Serine/threonine-protein kinase AKT inhibitor",NA,"AKT2","AKT serine/threonine kinase 2",3,"Active, not recruiting","https://clinicaltrials.gov/study/NCT04305496","hgnc:392","AKT2","ClearityFoundationClinicalTrial","15-Jun-13","inhibitor","0.4167275494896389","AZD5363","rxcui:2669967","TRUE","FALSE","TRUE"
"ELACESTRANT","ESR1","P03372","ENSG00000091831","MONDO_0007254","breast cancer","CHEMBL4297509","Small molecule","Estrogen receptor alpha degrader",NA,"ESR1","estrogen receptor 1",3,"Recruiting","https://clinicaltrials.gov/study/NCT05512364","hgnc:3467","ESR1","CIViC","10-Apr-24","NULL","0.6134073742487676","ELACESTRANT","rxcui:2628469","TRUE","FALSE","TRUE"
"EXEMESTANE","CYP19A1","P11511","ENSG00000137869","EFO_0000305","breast carcinoma","CHEMBL1200374","Small molecule","Cytochrome P450 19A1 inhibitor",NA,"CYP19A1","cytochrome P450 family 19 subfamily A member 1",2,"Active, not recruiting","https://clinicaltrials.gov/study/NCT03179904","hgnc:2594","CYP19A1","ChEMBL","33","inhibitor","0.2941606231691568","EXEMESTANE","rxcui:258494","TRUE","FALSE","TRUE"
"FULVESTRANT","ESR1","P03372","ENSG00000091831","EFO_0000305","breast carcinoma","CHEMBL1358","Small molecule","Estrogen receptor antagonist","Antagonist","ESR1","estrogen receptor 1",2,"Recruiting","https://clinicaltrials.gov/study/NCT04762979,https://clinicaltrials.gov/study/NCT05319873,https://clinicaltrials.gov/study/NCT05554354,https://clinicaltrials.gov/study/NCT02476786,https://clinicaltrials.gov/study/NCT02778685","hgnc:3467","ESR1","CIViC","10-Apr-24","NULL","0.2044691247495891","FULVESTRANT","rxcui:282357","TRUE","FALSE","TRUE"
