ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,cluster,color
GO:0022600,digestive system process,8/21,75/12081,0.106666666666667,61.3638095238095,21.8815238214488,2.86726542918315e-13,5.43756038926736e-11,4.02257196794425e-11,ENSG00000025708/ENSG00000100170/ENSG00000145113/ENSG00000160180/ENSG00000160181/ENSG00000160182/ENSG00000184956/ENSG00000198788,8,1,tomato
GO:0030277,maintenance of gastrointestinal epithelium,6/21,19/12081,0.315789473684211,181.669172932331,32.8867271749098,3.36691045775069e-13,5.43756038926736e-11,4.02257196794425e-11,ENSG00000145113/ENSG00000160180/ENSG00000160181/ENSG00000160182/ENSG00000184956/ENSG00000198788,6,1,tomato
GO:0007586,digestion,8/21,88/12081,0.0909090909090909,52.2987012987013,20.1536285706854,1.07882129479257e-12,1.16153092739334e-10,8.59271697957594e-11,ENSG00000025708/ENSG00000100170/ENSG00000145113/ENSG00000160180/ENSG00000160181/ENSG00000160182/ENSG00000184956/ENSG00000198788,8,1,tomato
GO:0010669,epithelial structure maintenance,6/21,31/12081,0.193548387096774,111.345622119816,25.6691738654648,9.02061461642966e-12,7.28414630276695e-10,5.38863031034088e-10,ENSG00000145113/ENSG00000160180/ENSG00000160181/ENSG00000160182/ENSG00000184956/ENSG00000198788,6,1,tomato
GO:0001894,tissue homeostasis,6/21,206/12081,0.029126213592233,16.755894590846,9.51764119434545,1.00168879396753e-06,5.39242467419185e-05,3.98918168825664e-05,ENSG00000145113/ENSG00000160180/ENSG00000160181/ENSG00000160182/ENSG00000184956/ENSG00000198788,6,1,tomato
GO:0060249,anatomical structure homeostasis,6/21,206/12081,0.029126213592233,16.755894590846,9.51764119434545,1.00168879396753e-06,5.39242467419185e-05,3.98918168825664e-05,ENSG00000145113/ENSG00000160180/ENSG00000160181/ENSG00000160182/ENSG00000184956/ENSG00000198788,6,1,tomato
GO:0009125,nucleoside monophosphate catabolic process,3/21,13/12081,0.230769230769231,132.758241758242,19.8335875125768,1.28029878915793e-06,5.90766441282875e-05,4.37034323517069e-05,ENSG00000025708/ENSG00000158125/ENSG00000198805,3,1,tomato
GO:0009162,deoxyribonucleoside monophosphate metabolic process,3/21,20/12081,0.15,86.2928571428571,15.9296217060685,5.06349808836452e-06,0.000204438735317718,0.000151238692902467,ENSG00000025708/ENSG00000158125/ENSG00000198805,3,1,tomato
GO:0009264,deoxyribonucleotide catabolic process,3/21,23/12081,0.130434782608696,75.0372670807454,14.8301696174706,7.83984534048639e-06,0.00025322700449771,0.000187331041293728,ENSG00000025708/ENSG00000158125/ENSG00000198805,3,1,tomato
GO:0046386,deoxyribose phosphate catabolic process,3/21,23/12081,0.130434782608696,75.0372670807454,14.8301696174706,7.83984534048639e-06,0.00025322700449771,0.000187331041293728,ENSG00000025708/ENSG00000158125/ENSG00000198805,3,1,tomato
GO:0006493,protein O-linked glycosylation,5/6,87/12081,0.0574712643678161,115.718390804598,23.9373556864323,1.02878799065973e-10,6.06984914489242e-09,3.14051070832971e-09,ENSG00000106392/ENSG00000139629/ENSG00000170340/ENSG00000171155/ENSG00000179913,5,2,springgreen
GO:0006486,protein glycosylation,5/6,193/12081,0.0259067357512953,52.1632124352332,15.9715690739365,5.85372788409623e-09,1.15123315053893e-07,5.95642486451897e-08,ENSG00000106392/ENSG00000139629/ENSG00000170340/ENSG00000171155/ENSG00000179913,5,2,springgreen
GO:0043413,macromolecule glycosylation,5/6,193/12081,0.0259067357512953,52.1632124352332,15.9715690739365,5.85372788409623e-09,1.15123315053893e-07,5.95642486451897e-08,ENSG00000106392/ENSG00000139629/ENSG00000170340/ENSG00000171155/ENSG00000179913,5,2,springgreen
GO:0070085,glycosylation,5/6,210/12081,0.0238095238095238,47.9404761904762,15.2960399249873,8.95519848135434e-09,1.32089177599976e-07,6.83423041998094e-08,ENSG00000106392/ENSG00000139629/ENSG00000170340/ENSG00000171155/ENSG00000179913,5,2,springgreen
GO:0009101,glycoprotein biosynthetic process,5/6,260/12081,0.0192307692307692,38.7211538461539,13.7059788329519,2.62030590668988e-08,3.09196096989405e-07,1.59976571145277e-07,ENSG00000106392/ENSG00000139629/ENSG00000170340/ENSG00000171155/ENSG00000179913,5,2,springgreen
GO:0009100,glycoprotein metabolic process,5/6,319/12081,0.0156739811912226,31.5595611285266,12.3301224501084,7.30730401569417e-08,7.1855156154326e-07,3.71775116587949e-07,ENSG00000106392/ENSG00000139629/ENSG00000170340/ENSG00000171155/ENSG00000179913,5,2,springgreen
GO:0016266,O-glycan processing,3/6,34/12081,0.0882352941176471,177.661764705882,22.9936592081391,4.05006260345838e-07,3.41362419434349e-06,1.76619271429012e-06,ENSG00000139629/ENSG00000170340/ENSG00000179913,3,2,springgreen
GO:0018146,keratan sulfate proteoglycan biosynthetic process,2/6,14/12081,0.142857142857143,287.642857142857,23.9205415773702,1.86570054736314e-05,0.000137595415368032,7.11912050967515e-05,ENSG00000170340/ENSG00000179913,2,2,springgreen
GO:0042339,keratan sulfate proteoglycan metabolic process,2/6,16/12081,0.125,251.6875,22.3663197938736,2.45917781047753e-05,0.000161212767575749,8.34107093612263e-05,ENSG00000170340/ENSG00000179913,2,2,springgreen
GO:0006023,aminoglycan biosynthetic process,2/6,47/12081,0.0425531914893617,85.6808510638298,12.9656609938211,0.000220018318073661,0.0012981080766346,0.000671634865698545,ENSG00000170340/ENSG00000179913,2,2,springgreen
GO:0051453,regulation of intracellular pH,3/5,71/12081,0.0422535211267606,102.092957746479,17.3834307156936,1.92898854999629e-06,0.000144952850166293,7.38613249254998e-05,ENSG00000080493/ENSG00000091138/ENSG00000104267,3,3,royalblue
GO:0030641,regulation of cellular pH,3/5,74/12081,0.0405405405405405,97.9540540540541,17.0224275779367,2.18699997640096e-06,0.000144952850166293,7.38613249254998e-05,ENSG00000080493/ENSG00000091138/ENSG00000104267,3,3,royalblue
GO:0006885,regulation of pH,3/5,80/12081,0.0375,90.6075,16.3620439044218,2.76979968470624e-06,0.000144952850166293,7.38613249254998e-05,ENSG00000080493/ENSG00000091138/ENSG00000104267,3,3,royalblue
GO:0015698,inorganic anion transport,3/5,97/12081,0.0309278350515464,74.7278350515464,14.8345154605086,4.96000075155341e-06,0.000194680029498471,9.92000150310682e-05,ENSG00000080493/ENSG00000091138/ENSG00000104267,3,3,royalblue
GO:0006820,monoatomic anion transport,3/5,106/12081,0.0283018867924528,68.3830188679245,14.1782474880343,6.482692851714e-06,0.00020355655554382,0.000103723085627424,ENSG00000080493/ENSG00000091138/ENSG00000104267,3,3,royalblue
GO:0015701,bicarbonate transport,2/5,24/12081,0.0833333333333333,201.35,19.9908957466462,3.76865552144947e-05,0.000986131528112611,0.000502487402859929,ENSG00000080493/ENSG00000091138,2,3,royalblue
GO:0030003,intracellular monoatomic cation homeostasis,3/5,360/12081,0.00833333333333333,20.135,7.49987976656608,0.000250969844088,0.00521441551859044,0.00265702701584226,ENSG00000080493/ENSG00000091138/ENSG00000104267,3,3,royalblue
GO:0006873,intracellular monoatomic ion homeostasis,3/5,367/12081,0.00817438692098093,19.7509536784741,7.42267935626254,0.000265702701584226,0.00521441551859044,0.00265702701584226,ENSG00000080493/ENSG00000091138/ENSG00000104267,3,3,royalblue
GO:0006821,chloride transport,2/5,69/12081,0.0289855072463768,70.0347826086957,11.7015060724088,0.000317953269774618,0.00554651815051279,0.0028262512868855,ENSG00000091138/ENSG00000104267,2,3,royalblue
GO:0055080,monoatomic cation homeostasis,3/5,416/12081,0.00721153846153846,17.4245192307692,6.93671540440302,0.000384940846344014,0.0058527085105694,0.00298227185251944,ENSG00000080493/ENSG00000091138/ENSG00000104267,3,3,royalblue
GO:0001676,long-chain fatty acid metabolic process,6/6,75/12081,0.08,161.08,30.998027587021,4.66903073304586e-14,1.73175007498634e-12,4.91892251875819e-13,ENSG00000108242/ENSG00000134716/ENSG00000138109/ENSG00000138115/ENSG00000165841/ENSG00000186529,6,4,maroon1
GO:0033559,unsaturated fatty acid metabolic process,6/6,77/12081,0.0779220779220779,156.896103896104,30.5902589542718,5.49761928567092e-14,1.73175007498634e-12,4.91892251875819e-13,ENSG00000108242/ENSG00000134716/ENSG00000138109/ENSG00000138115/ENSG00000165841/ENSG00000186529,6,4,maroon1
GO:0120254,olefinic compound metabolic process,6/6,105/12081,0.0571428571428571,115.057142857143,26.1653631529615,3.73167156111843e-13,7.83651027834871e-12,2.22590935224608e-12,ENSG00000108242/ENSG00000134716/ENSG00000138109/ENSG00000138115/ENSG00000165841/ENSG00000186529,6,4,maroon1
GO:0019369,arachidonate metabolic process,5/6,36/12081,0.138888888888889,279.652777777778,37.3230174248175,1.05336695158455e-12,1.65905294874567e-11,4.71243109919405e-12,ENSG00000134716/ENSG00000138109/ENSG00000138115/ENSG00000165841/ENSG00000186529,5,4,maroon1
GO:0006805,xenobiotic metabolic process,5/6,75/12081,0.0666666666666667,134.233333333333,25.7994161805187,4.80950185767149e-11,5.7801969169544e-10,1.64182702737218e-10,ENSG00000108242/ENSG00000134716/ENSG00000138109/ENSG00000138115/ENSG00000165841,5,4,maroon1
GO:0006690,icosanoid metabolic process,5/6,77/12081,0.0649350649350649,130.746753246753,25.4591787806275,5.50494944471847e-11,5.7801969169544e-10,1.64182702737218e-10,ENSG00000134716/ENSG00000138109/ENSG00000138115/ENSG00000165841/ENSG00000186529,5,4,maroon1
GO:0006631,fatty acid metabolic process,6/6,291/12081,0.0206185567010309,41.5154639175258,15.5946607222741,1.85674067499685e-10,1.67106660749716e-09,4.74655510901449e-10,ENSG00000108242/ENSG00000134716/ENSG00000138109/ENSG00000138115/ENSG00000165841/ENSG00000186529,6,4,maroon1
GO:0071466,cellular response to xenobiotic stimulus,5/6,129/12081,0.0387596899224806,78.0426356589147,19.609712085217,7.64096314619885e-10,6.01725847763159e-09,1.70916280901816e-09,ENSG00000108242/ENSG00000134716/ENSG00000138109/ENSG00000138115/ENSG00000165841,5,4,maroon1
GO:0032787,monocarboxylic acid metabolic process,6/6,458/12081,0.0131004366812227,26.3777292576419,12.3421807556394,2.87629864353258e-09,2.0134090504728e-08,5.71895636725775e-09,ENSG00000108242/ENSG00000134716/ENSG00000138109/ENSG00000138115/ENSG00000165841/ENSG00000186529,6,4,maroon1
GO:0006721,terpenoid metabolic process,4/6,63/12081,0.0634920634920635,127.84126984127,22.4998839817363,9.99326952854169e-09,6.29575980298126e-08,1.78826928405483e-08,ENSG00000108242/ENSG00000138109/ENSG00000138115/ENSG00000165841,4,4,maroon1
GO:0048706,embryonic skeletal system development,5/6,79/12081,0.0632911392405063,127.43670886076,25.1319067546196,6.27856227925148e-11,7.47148911230926e-09,2.37924465319004e-09,ENSG00000108511/ENSG00000120075/ENSG00000182742/ENSG00000197757/ENSG00000260027,5,5,gold
GO:0009952,anterior/posterior pattern specification,5/6,129/12081,0.0387596899224806,78.0426356589147,19.609712085217,7.64096314619885e-10,4.54637307198832e-08,1.44776143822715e-08,ENSG00000108511/ENSG00000120075/ENSG00000182742/ENSG00000197757/ENSG00000260027,5,5,gold
GO:0048562,embryonic organ morphogenesis,5/6,184/12081,0.0271739130434783,54.7146739130435,16.3662298779935,4.60139785501946e-09,1.82522114915772e-07,5.812292027393e-08,ENSG00000108511/ENSG00000118526/ENSG00000120075/ENSG00000182742/ENSG00000260027,5,5,gold
GO:0048704,embryonic skeletal system morphogenesis,4/6,56/12081,0.0714285714285714,143.821428571429,23.8786827946547,6.16763717461923e-09,1.83487205944922e-07,5.84302469174453e-08,ENSG00000108511/ENSG00000120075/ENSG00000182742/ENSG00000260027,4,5,gold
GO:0003002,regionalization,5/6,259/12081,0.0193050193050193,38.8706563706564,13.733232085231,2.57009592824439e-08,6.11682830922165e-07,1.94786217719575e-07,ENSG00000108511/ENSG00000120075/ENSG00000182742/ENSG00000197757/ENSG00000260027,5,5,gold
