ensembl_gene_id,external_gene_name,description,gene_biotype,degree,betweenness,closeness,eigen_centrality,page_rank,cluster,source
ENSG00000183625,CCR3,C-C motif chemokine receptor 3 ,protein_coding,17,24.2464896214896,0.0172413793103448,1,0.00647290166451439,royalblue,subnet
ENSG00000160791,CCR5,C-C motif chemokine receptor 5 ,protein_coding,16,23.9387973137973,0.0169491525423729,0.941018634641559,0.00613462086262815,royalblue,subnet
ENSG00000080986,NDC80,NDC80 kinetochore complex component ,protein_coding,14,777.718398268399,0.00155763239875389,1.46232276890799e-17,0.0111636771769994,tomato,subnet
ENSG00000168329,CX3CR1,C-X3-C motif chemokine receptor 1 ,protein_coding,14,23.7245115995116,0.0163934426229508,0.809550833990861,0.0054650946431003,royalblue,subnet
ENSG00000179934,CCR8,C-C motif chemokine receptor 8 ,protein_coding,14,23.7245115995116,0.0163934426229508,0.809550833990861,0.00546509464310168,royalblue,subnet
ENSG00000186810,CXCR3,C-X-C motif chemokine receptor 3 ,protein_coding,14,23.7245115995116,0.0163934426229508,0.809550833990861,0.00546509464309955,royalblue,subnet
ENSG00000157456,CCNB2,cyclin B2 ,protein_coding,13,2960.73170995671,0.00176991150442478,0,0.0125598544496425,tomato,subnet
ENSG00000169245,CXCL10,C-X-C motif chemokine ligand 10 ,protein_coding,13,29.6095848595849,0.0161290322580645,0.784989226176115,0.0052891944811106,royalblue,subnet
ENSG00000183813,CCR4,C-C motif chemokine receptor 4 ,protein_coding,13,23.7245115995116,0.0161290322580645,0.726389477568125,0.00513919290977449,royalblue,subnet
ENSG00000205420,KRT6A,keratin 6A ,protein_coding,13,21.8333333333333,0.0434782608695652,4.46673136684622e-16,0.0050733543901472,maroon1,subnet
ENSG00000122952,ZWINT,ZW10 interacting kinetochore protein ,protein_coding,12,473.822871572872,0.00156494522691706,6.75908848015142e-17,0.00972377675856896,tomato,subnet
ENSG00000128408,RIBC2,RIB43A domain with coiled-coils 2 ,protein_coding,12,231,0.0161290322580645,0.247139716527665,0.00428094713907692,yellowgreen,subnet
ENSG00000156234,CXCL13,C-X-C motif chemokine ligand 13 ,protein_coding,12,47.0934065934066,0.0158730158730159,0.711210885709907,0.00533552281670737,royalblue,subnet
ENSG00000167767,KRT80,keratin 80 ,protein_coding,12,17,0.0416666666666667,4.89213435416491e-16,0.00469770013534766,maroon1,subnet
ENSG00000169679,BUB1,BUB1 mitotic checkpoint serine/threonine kinase ,protein_coding,12,1008.75216450217,0.00167224080267559,7.0374283253697e-17,0.00991884733538925,tomato,subnet
ENSG00000138755,CXCL9,C-X-C motif chemokine ligand 9 ,protein_coding,11,11.0326617826618,0.015625,0.728318580035567,0.00438771558189391,royalblue,subnet
ENSG00000151023,ENKUR,"enkurin, TRPC channel interacting protein ",protein_coding,11,0,0.0120481927710843,0.187856686847891,0.00394860760997569,yellowgreen,subnet
ENSG00000160345,PIERCE1,piercer of microtubule wall 1 ,protein_coding,11,0,0.0120481927710843,0.187856686847891,0.00394860760996959,yellowgreen,subnet
ENSG00000163060,TEKT4,tektin 4 ,protein_coding,11,0,0.0120481927710843,0.187856686847891,0.00394860760997637,yellowgreen,subnet
ENSG00000163263,CFAP141,cilia and flagella associated protein 141 ,protein_coding,11,0,0.0120481927710843,0.187856686847891,0.00394860760997203,yellowgreen,subnet
ENSG00000167858,TEKT1,tektin 1 ,protein_coding,11,0,0.0120481927710843,0.187856686847891,0.00394860760997355,yellowgreen,subnet
ENSG00000169248,CXCL11,C-X-C motif chemokine ligand 11 ,protein_coding,11,240.7442002442,0.0188679245283019,0.730104647392404,0.0042764584284191,royalblue,subnet
ENSG00000170421,KRT8,keratin 8 ,protein_coding,11,8.33333333333333,0.04,4.25402987318688e-16,0.00431195856089247,maroon1,subnet
ENSG00000173557,CIMIP2C,ciliary microtubule inner protein 2C ,protein_coding,11,0,0.0120481927710843,0.187856686847891,0.003948607609975,yellowgreen,subnet
ENSG00000179902,CFAP276,cilia and flagella associated protein 276 ,protein_coding,11,0,0.0120481927710843,0.187856686847891,0.00394860760997124,yellowgreen,subnet
ENSG00000185479,KRT6B,keratin 6B ,protein_coding,11,4.66666666666667,0.04,5.63658958197261e-16,0.0043021512820887,maroon1,subnet
ENSG00000186973,CFAP144,cilia and flagella associated protein 144 ,protein_coding,11,0,0.0120481927710843,0.187856686847891,0.00394860760997429,yellowgreen,subnet
ENSG00000188523,CFAP77,cilia and flagella associated protein 77 ,protein_coding,11,0,0.0120481927710843,0.187856686847891,0.0039486076099728,yellowgreen,subnet
ENSG00000205426,KRT81,keratin 81 ,protein_coding,11,8.33333333333333,0.04,3.82862688586819e-16,0.00431195856089234,maroon1,subnet
ENSG00000215217,CFAP90,cilia and flagella associated protein 90 ,protein_coding,11,0,0.0120481927710843,0.187856686847891,0.00394860760997042,yellowgreen,subnet
ENSG00000261652,PIERCE2,piercer of microtubule wall 2 ,protein_coding,11,0,0.0120481927710843,0.187856686847891,0.00394860760996873,yellowgreen,subnet
ENSG00000170442,KRT86,keratin 86 ,protein_coding,10,0,0.037037037037037,4.67943286050557e-16,0.00392605688407324,maroon1,subnet
ENSG00000170454,KRT75,keratin 75 ,protein_coding,10,0,0.037037037037037,4.89213435416491e-16,0.00392605688407768,maroon1,subnet
ENSG00000170465,KRT6C,keratin 6C ,protein_coding,10,0,0.037037037037037,4.25402987318688e-16,0.00392605688407718,maroon1,subnet
ENSG00000170477,KRT4,keratin 4 ,protein_coding,10,0,0.037037037037037,3.50957464537917e-16,0.0039260568840726,maroon1,subnet
ENSG00000170523,KRT83,keratin 83 ,protein_coding,10,0,0.037037037037037,3.29687315171983e-16,0.00392605688407666,maroon1,subnet
ENSG00000172156,CCL11,C-C motif chemokine ligand 11 ,protein_coding,10,2.81868131868132,0.0151515151515152,0.6938354780214,0.00394391910867151,royalblue,subnet
ENSG00000185640,KRT79,keratin 79 ,protein_coding,10,0,0.037037037037037,3.93497763269786e-16,0.00392605688407613,maroon1,subnet
ENSG00000117724,CENPF,centromere protein F ,protein_coding,9,738.836435786436,0.00161290322580645,2.07508586099301e-17,0.00729586512848569,tomato,subnet
ENSG00000137812,KNL1,kinetochore scaffold 1 ,protein_coding,9,260.188131313131,0.00143472022955524,0,0.00720779456320457,tomato,subnet
ENSG00000186832,KRT16,keratin 16 ,protein_coding,9,6.83333333333333,0.037037037037037,1.59526120244508e-16,0.00396866674134289,maroon1,subnet
