gene_id,base_count,cancer_count,MeSH_count,title_query,ovarian_count,title_count
ASB16,33,19,10,15,1,15.0
BMP8A,55,15,9,4,2,4.0
SLC7A11,1836,937,551,247,38,247.0
LEF1,2149,973,657,240,21,240.0
DNAJA4,46,15,7,2,0,2.0
MTBP,97,54,28,24,1,24.0
H2BC21,3,1,0,0,0,0.0
EPHA10,52,43,28,8,2,8.0
HDAC11,252,119,51,42,4,42.0
VANGL1,167,69,48,14,2,14.0
TANC2,29,5,2,2,0,2.0
KIF2C,312,191,107,36,6,36.0
CCNA2,814,524,334,30,17,30.0
HDGF,335,233,166,78,5,78.0
RFC4,130,86,53,7,0,7.0
IRF7,2023,375,155,64,4,64.0
DCAF13,32,18,11,9,0,9.0
SKA1,116,67,42,29,1,29.0
MAPK8IP2,43,13,8,4,0,4.0
UBE2C,465,384,270,104,19,104.0
INTS7,15,6,3,2,0,2.0
SORD,145,20,11,1,0,1.0
CLTC,204,92,71,16,1,16.0
BPIFB2,15,3,2,1,0,1.0
CDK5,3135,585,292,210,14,210.0
PTK6,254,194,142,68,10,68.0
RAD51AP1,107,73,44,25,10,25.0
CENPM,54,42,26,10,1,10.0
E2F1,5228,3476,2235,1153,101,1153.0
S100P,600,456,366,161,16,161.0
DCTPP1,25,17,11,7,1,7.0
MACIR,9,1,1,0,0,0.0
SFXN1,44,19,10,7,0,7.0
CECR2,50,11,5,4,0,4.0
TBX1,723,69,27,20,0,20.0
ASH2L,192,69,38,19,2,19.0
KNTC1,47,32,25,10,1,10.0
DNA2,628,165,31,52,5,52.0
PIERCE1,6,5,2,5,0,5.0
NEK2,512,354,210,154,13,154.0
GINS4,39,27,18,9,0,9.0
CKS2,176,128,79,41,4,41.0
PMAIP1,748,539,404,14,12,14.0
MRPS30,38,24,18,7,1,7.0
XRCC2,436,314,211,110,47,110.0
F7,4851,440,281,11,20,11.0
CDCA5,163,120,75,32,8,32.0
TNNT1,149,30,18,6,1,6.0
STIP1,303,114,62,24,15,24.0
EVL,894,131,78,15,1,15.0
DSCC1,23,16,9,6,0,6.0
ZYG11A,19,5,2,4,1,4.0
DPP3,98,21,10,5,1,5.0
OAS1,724,142,59,18,2,18.0
TFRC,800,262,132,33,5,33.0
OAS2,297,65,30,8,2,8.0
NME1,1177,989,891,62,63,62.0
ORC1,382,85,34,14,3,13.0
RIPPLY3,17,4,1,0,1,0.0
NOD2,3840,411,163,154,9,154.0
ZNF239,9,3,1,0,0,0.0
GABRD,164,25,14,9,0,9.0
NRCAM,332,76,50,16,3,16.0
HSPH1,171,72,50,4,0,4.0
WDHD1,66,36,17,9,1,9.0
RAE1,328,136,43,35,3,35.0
KIF11,844,432,247,51,22,51.0
H2AJ,4,2,2,0,0,0.0
UBE2L6,91,38,20,8,1,8.0
SPC24,83,33,14,10,1,10.0
SIAH2,232,131,78,64,1,64.0
ESPL1,147,80,53,13,3,12.0
PPP1R3D,13,0,0,0,0,0.0
MRPL13,39,22,13,6,1,6.0
CENPX,21,7,4,0,0,0.0
