ensembl_gene_id,external_gene_name,description,gene_biotype,degree,betweenness,closeness,eigen_centrality,page_rank,cluster,source
ENSG00000143947,RPS27A,ribosomal protein S27a ,protein_coding,112,12472.063925806,0.000389863547758285,0.165493498090743,0.00430334672172245,white,STRING
ENSG00000141510,TP53,tumor protein p53 ,protein_coding,109,27719.1127905387,0.000400801603206413,0.133809626095225,0.00457206658522126,white,STRING
ENSG00000150991,UBC,ubiquitin C ,protein_coding,104,10491.75733094,0.000389256520046711,0.177878148366769,0.00394139829149127,white,STRING
ENSG00000221983,UBA52,ubiquitin A-52 residue ribosomal protein fusion product 1 ,protein_coding,101,10073.3428417145,0.000382701875239189,0.148015891892819,0.00390018104100444,white,STRING
ENSG00000170315,UBB,ubiquitin B ,protein_coding,97,7816.37195388549,0.000380952380952381,0.147101099130607,0.00367315266001474,white,STRING
ENSG00000012048,BRCA1,BRCA1 DNA repair associated ,protein_coding,93,16728.5711514038,0.00037202380952381,0.241780777873949,0.00355833367916551,white,STRING
ENSG00000177885,GRB2,growth factor receptor bound protein 2 ,protein_coding,91,16532.9477187269,0.000385802469135802,0.137670435295623,0.00377864937859701,white,STRING
ENSG00000146648,EGFR,epidermal growth factor receptor ,protein_coding,84,25924.2391251748,0.000396667988893296,0.106235888062401,0.00354466159161316,white,STRING
ENSG00000123374,CDK2,cyclin dependent kinase 2 ,protein_coding,78,6862.35317981053,0.000356252226576416,0.112025555484006,0.00281910379725135,white,STRING
ENSG00000168036,CTNNB1,catenin beta 1 ,protein_coding,78,17043.0044948517,0.000386249517188104,0.105488610351319,0.00340109945303962,white,STRING
ENSG00000197694,SPTAN1,"spectrin alpha, non-erythrocytic 1 ",protein_coding,78,7177.60110781354,0.000349162011173184,0.216233798541222,0.00262411694604287,white,STRING
ENSG00000077549,CAPZB,capping actin protein of muscle Z-line subunit beta ,protein_coding,77,9872.87694719654,0.000347222222222222,0.605784020014801,0.00254339256689756,white,STRING
