"external_gene_name","description","count","counts_when_betweeness_0","counts_when_centrality_0","counts_when_druggability_0","counts_when_cryptic_pockets_0"
"EDEM3","ER degradation enhancing alpha-mannosidase like protein 3",182,15,19,8,0
"H2BC17","H2B clustered histone 17",180,4,4,10,0
"AP2B1","adaptor related protein complex 2 subunit beta 1",140,5,5,15,0
"NBN","nibrin",115,2,3,5,0
"TRIM28","tripartite motif containing 28",100,2,3,5,0
"CANX","calnexin",97,3,4,9,0
"WDR76","WD repeat domain 76",90,2,3,4,0
"AP2S1","adaptor related protein complex 2 subunit sigma 1",88,1,3,3,0
"F2RL2","coagulation factor II thrombin receptor like 2",85,2,3,2,0
"H2BC7","H2B clustered histone 7",75,1,1,1,0
"SYCP2","synaptonemal complex protein 2",71,6,8,0,0
"KIF4A","kinesin family member 4A",69,22,7,13,0
"MBOAT2","membrane bound O-acyltransferase domain containing 2",66,7,10,0,0
"DNAJC5","DnaJ heat shock protein family (Hsp40) member C5",58,7,5,0,0
"PLK1","polo like kinase 1",54,2,2,0,0
"ANLN","anillin, actin binding protein",53,27,28,0,0
"GBA1","glucosylceramidase beta 1",53,17,6,0,0
"HLA-DPB1","major histocompatibility complex, class II, DP beta 1",53,21,20,0,0
"GRB2","growth factor receptor bound protein 2",49,29,33,0,3
"SEC24D","SEC24 homolog D, COPII coat complex component",49,5,12,0,0
"HSP90AA1","heat shock protein 90 alpha family class A member 1",43,15,18,0,0
"CCDC87","coiled-coil domain containing 87",39,7,7,0,0
"TNFRSF12A","TNF receptor superfamily member 12A",37,12,12,0,0
"ACTB","actin beta",35,8,3,0,0
"NOX1","NADPH oxidase 1",33,16,16,0,0
"SULT1C2","sulfotransferase family 1C member 2",33,10,12,0,0
"CALML5","calmodulin like 5",32,11,11,0,0
"HSPA4","heat shock protein family A (Hsp70) member 4",31,9,9,0,0
"RFC2","replication factor C subunit 2",26,6,6,0,0
"HAUS8","HAUS augmin like complex subunit 8",24,1,1,0,0
"RBP1","retinol binding protein 1",22,8,5,0,2
"SSR1","signal sequence receptor subunit 1",22,1,1,0,0
"KIF18B","kinesin family member 18B",21,2,2,0,1
"CCT5","chaperonin containing TCP1 subunit 5",20,2,3,0,4
"BPIFB1","BPI fold containing family B member 1",19,2,3,0,4
"FANCC","FA complementation group C",19,3,3,0,6
"HM13","histocompatibility minor 13",16,1,2,0,2
"CACNA1E","calcium voltage-gated channel subunit alpha1 E",15,2,2,0,3
"CETN2","centrin 2",15,1,1,0,1
"HTRA4","HtrA serine peptidase 4",15,2,2,0,3
"HSPA5","heat shock protein family A (Hsp70) member 5",14,2,0,3,0
"RFC4","replication factor C subunit 4",14,1,1,0,1
"TP53","tumor protein p53",14,2,1,4,0
"CAMK4","calcium/calmodulin dependent protein kinase IV",13,3,2,0,0
"SEC24A","SEC24 homolog A, COPII coat complex component",13,2,0,0,2
"MMP13","matrix metallopeptidase 13",12,3,0,0,4
"RFC5","replication factor C subunit 5",12,16,0,32,5
"SLC9A2","solute carrier family 9 member A2",12,22,35,42,61
